HDR,20210328,20210329,OSHQ,13824 Yorba Ave,Unnamed: 5,Chino,CA,91710,USA,Unnamed: 10
DET,46,K6211-B117,,41869454,SETTEE STORAGE BENCH TAN,AV,10,EA,149.63,
DET,47,K6211-B214,,46843207,VLVT TFTD STRGE BNCH SETTEE,AV,63,EA,149.63,
DET,48,K6211-B215,,46842258,VLVT TFTD BLU STTEE STRGE BNCH,AV,10,EA,149.63,
DET,49,K6377-F1326,,41869223,MED STORAGE OTTOMAN TAN,AV,84,EA,57.23,
DET,50,K6384NP-A750,,46842753,BLUE SLATE LG DECO STRGE OTTMN,AV,134,EA,100.52,
DET,51,K6384NP-A861,,54835012,LRG DECORATIVE STORAGE BENCH,OS,0,EA,111.0,20220416.0
DET,52,K6384NP-A862,,54835020,LRG DECORATIVE STORAGE BENCH,OS,0,EA,111.0,20220301.0
DET,53,K6384NP-B214,,60274313,Large Storage Bench in Gray,OS,0,EA,111.0,20220327.0
DET,54,K6384NP-F1532,,60274321,Large Storage Bench in Black,OS,0,EA,111.0,20220301.0
DET,55,K6384NP-F2051,,46842266,GEO LARGE NAVY STORAGE OTTOMAN,AV,20,EA,100.52,20220201.0
DET,56,K6384NP-F2052,,46843215,GEO LARGE GREY STORAGE OTTOMAN,AV,20,EA,100.52,
DET,57,K6384NP-F2053,,46842274,LG GEO GRN DECO STORAGE OTTMAN,OS,0,EA,100.52,20220501.0
DET,58,K6384NP-F2055,,46843066,LG TEAL BLU DECO STORAGE OTTMN,AV,20,EA,100.52,
DET,59,K6384NP-F2262,,51705812,STORAGE BENCH,AV,33,EA,110.72,
DET,60,K6384NP-F2349,,54835038,LRG DECORATIVE STORAGE BENCH,AV,20,EA,111.0,
DET,61,K6407-F2377,,56246143,KID'S STORAGE BENCH,OS,0,EA,93.83,20211201.0
DET,62,K6465-B218 (Y091),,46843223,SWOOP JUNVILE CHAIR,OS,0,EA,62.95,20220201.0
DET,63,K6499-A727,,59035378,ACCENT CHAIR,OS,0,EA,136.8,20220301.0
DET,64,K6499-A810,,51708576,ACCENT CHAIR,AV,33,EA,119.7,
DET,65,K6499-A862,,54834577,ARM CHAIR,OS,0,EA,131.1,20211201.0
DET,66,K6499-B117,,46842407,SWOOP ARM VELVET ACCENT CHAIR,AV,64,EA,119.7,
DET,67,K6499-B119,,46843231,SWOOP ARM VELVET ACCENT CHAIR,AV,20,EA,119.7,
DET,68,K6499-B122,,46842761,SWOOP ARM VELVET ACCENT CHAIR,AV,20,EA,119.7,
DET,69,K6499-F2060,,59035386,ACCENT CHAIR,OS,0,EA,136.8,20220501.0
DET,70,K6499-F2206,,51708584,ACCENT CHAIR,OS,0,EA,119.7,20220408.0
DET,71,K6499-F2207,,51708816,ACCENT CHAIR,OS,0,EA,119.7,20220201.0
DET,72,K6499-F2208,,51708402,ACCENT CHAIR,AV,33,EA,119.7,20220201.0
DET,73,K6499-F2359,,59035394,ACCENT CHAIR,OS,0,EA,136.8,20220327.0
DET,74,K6499-F2372,,59035402,ACCENT CHAIR,OS,0,EA,136.8,20220201.0
DET,75,K6757-F2352,,54834700,DINING CHAIR S/2,AV,20,EA,133.2,20220327.0
DET,76,K6757-F2353,,54834718,DINING CHAIR S/2,AV,41,EA,133.2,20220301.0
DET,77,K6771-A750,,46842571,BLUE SLATE LARGE ACCENT CHAIR,AV,30,EA,153.22,
DET,78,K6805-A848,,52854064,PARSON CHAIR S/2,OS,0,EA,157.34,20220301.0
DET,79,K6805-A858,,59035485,PARSONS DINING CHAIR S/2,OS,0,EA,155.4,20220201.0
DET,80,K6805-E830,,59035493,PARSONS DINING CHAIR S/2,OS,0,EA,150.96,20220201.0
DET,81,K6805-E856,,59035501,PARSONS DINING CHAIR S/2,OS,0,EA,142.08,20211201.0
DET,82,K6805-F2039 (Y199),,46842787,PARSON DINING CHAIR,OS,0,EA,58.28,20220418.0
DET,83,K6805-F2051,,46842795,SET 2 GEO BRIGHTS PRSN CHAIRS,AV,39,EA,130.54,
DET,84,K6805-F2052,,46842654,SET 2 GEO GRAY PARSON CHAIRS,AV,63,EA,130.54,
DET,85,K6805-F2062,,46842159,ST 2 BLU CRM LTCE PRSN CHRS,OS,0,EA,130.54,20220201.0
DET,86,K6805-F2063,,46842431,SET 2 BLUE SHADES PRSN CHRS,AV,10,EA,130.54,20220201.0
DET,87,K6805-F2088 (Y199),,46842803,PARSON DINING CHAIR,OS,0,EA,57.23,20220418.0
DET,88,K6805-F2096,,59035519,PARSONS DINING CHAIR S/2,OS,0,EA,155.4,20211201.0
DET,89,K6805-F2285,,59035527,PARSONS DINING CHAIR S/2,OS,0,EA,142.08,20220327.0
DET,90,K6805-F2302,,59035535,PARSONS DINING CHAIR S/2,AV,10,EA,160.95,
DET,91,K6805-F2321,,59035543,PARSONS DINING CHAIR S/2,AV,10,EA,150.96,
DET,92,K6805-F2343,,59035550,PARSONS DINING CHAIR S/2,OS,0,EA,150.96,20220501.0
